iter	RMSE
0	123596.3459
1	120683.6385
2	117911.7924
3	115092.1631
4	112409.9935
5	109798.5316
6	107306.2872
7	104902.3993
8	102560.9508
9	100384.8295
10	98138.87369
11	96026.5472
12	93955.73027
13	91859.91384
14	89857.04058
15	87970.09316
16	86115.13067
17	84359.82889
18	82686.50949
19	81041.75386
20	79436.26367
21	77891.3623
22	76389.52724
23	74916.35327
24	73537.64566
25	72208.2819
26	70891.93697
27	69650.64124
28	68434.49556
29	67258.71442
30	66146.29206
31	65062.33349
32	64024.3415
33	62995.99278
34	62005.35959
35	61068.83807
36	60131.53852
37	59249.2166
38	58374.97326
39	57574.44245
40	56785.69398
41	55984.89917
42	55249.74613
43	54554.06817
44	53865.95653
45	53250.55912
46	52605.86802
47	51977.95052
48	51386.52883
49	50789.30277
50	50232.34603
51	49690.64974
52	49172.26926
53	48648.59268
54	48150.60814
55	47696.20755
56	47255.92535
57	46834.43011
58	46437.91153
59	46045.97781
60	45684.29633
61	45282.34064
62	44936.32705
63	44587.89711
64	44255.23538
65	43927.08635
66	43609.99115
67	43292.45792
68	42968.68045
69	42677.16783
70	42357.70252
71	42121.60524
72	41874.32488
73	41646.35458
74	41397.14248
75	41155.35284
76	40923.97267
77	40714.22844
78	40523.119
79	40310.58336
80	40114.16801
81	39919.93994
82	39738.72478
83	39551.065
84	39377.60353
85	39188.17637
86	39009.93419
87	38838.89642
88	38673.36332
89	38519.64661
90	38372.13704
91	38227.57554
92	38080.97771
93	37951.65324
94	37826.46139
95	37711.5593
96	37568.55565
97	37440.53517
98	37316.90501
99	37192.63106
100	37068.55179
101	36956.34536
102	36836.89705
103	36720.10513
104	36599.73013
105	36521.86133
106	36423.99858
107	36321.68832
108	36227.06377
109	36142.67818
110	36064.14032
111	35968.24992
112	35875.83968
113	35789.41167
114	35720.61444
115	35652.14697
116	35578.08005
117	35505.02088
118	35429.32921
119	35340.11135
120	35263.76765
121	35204.50841
122	35142.49588
123	35080.05129
124	35026.29461
125	34969.13374
126	34900.36571
127	34856.77807
128	34782.37
129	34719.27502
130	34667.51124
131	34603.47035
132	34546.94321
133	34504.34176
134	34460.12215
135	34401.02662
136	34349.61995
137	34305.17246
138	34251.38718
139	34169.99566
140	34133.89317
141	34084.24812
142	34036.29155
143	33980.02267
144	33939.01642
145	33873.31201
146	33821.56856
147	33783.54427
148	33739.85582
149	33712.96019
150	33681.33209
151	33645.30571
152	33594.41648
153	33561.66262
154	33524.0806
155	33488.66873
156	33462.41283
157	33440.49207
158	33412.48303
159	33370.33338
160	33340.39272
161	33301.36171
162	33262.03609
163	33241.20586
164	33209.72173
165	33173.8058
166	33134.57194
167	33099.69641
168	33064.24293
169	33026.7915
170	32997.17401
171	32962.21698
172	32927.79163
173	32902.05953
174	32872.83689
175	32833.06147
176	32813.75427
177	32786.22392
178	32756.2498
179	32719.88624
180	32686.0657
181	32669.47137
182	32637.6307
183	32602.75048
184	32570.96363
185	32537.2323
186	32516.25223
187	32493.61245
188	32466.48141
189	32445.8098
190	32415.58852
191	32386.26089
192	32367.45843
193	32340.91865
194	32320.79153
195	32288.54867
196	32258.32359
197	32243.09551
198	32227.449
199	32210.86101
200	32167.12806
201	32149.29927
202	32128.94835
203	32106.68778
204	32082.53034
205	32057.99379
206	32031.4635
207	32014.32039
208	31987.28703
209	31973.46031
210	31953.04265
211	31939.38378
212	31925.36396
213	31912.41384
214	31892.00483
215	31879.52277
216	31867.41135
217	31849.15255
218	31836.56399
219	31813.42425
220	31796.95586
221	31790.45866
222	31778.36157
223	31763.33509
224	31745.30299
225	31730.89425
226	31710.31815
227	31677.4869
228	31647.27581
229	31615.01393
230	31603.43686
231	31592.74813
232	31580.91265
233	31562.298
234	31546.97197
235	31523.18467
236	31505.41866
237	31492.14639
238	31464.3885
239	31445.92521
240	31425.9938
241	31411.72296
242	31389.47592
243	31375.01843
244	31357.22504
245	31329.56551
246	31315.40448
247	31292.91001
248	31274.64067
249	31246.43158
250	31231.83719
251	31208.55262
252	31193.57192
253	31180.83229
254	31160.78404
255	31143.03983
256	31116.58506
257	31092.29316
258	31058.78231
259	31050.32075
260	31036.95206
261	31017.17764
262	31000.6417
263	30984.69923
264	30967.89384
265	30950.77152
266	30937.77031
267	30924.26212
268	30906.3083
269	30889.46681
270	30860.00657
271	30850.88267
272	30835.39219
273	30820.83229
274	30803.51755
275	30784.29863
276	30773.09818
277	30756.87141
278	30742.31022
279	30725.3031
280	30701.14607
281	30691.03002
282	30681.39742
283	30671.7649
284	30665.69999
285	30646.4081
286	30638.1396
287	30624.47403
288	30600.70388
289	30594.69129
290	30577.17842
291	30560.88757
292	30548.28414
293	30538.22468
294	30519.74523
295	30505.2186
296	30496.65072
297	30483.65597
298	30460.01547
299	30446.46887
300	30437.24172
301	30424.84696
302	30409.82907
303	30406.03847
304	30388.63432
305	30376.29831
306	30358.62407
307	30325.46269
308	30313.59027
309	30298.69498
310	30288.89751
311	30275.72938
312	30257.62266
313	30246.17008
314	30234.63733
315	30209.67959
316	30200.09736
317	30183.38459
318	30175.02855
319	30164.46432
320	30155.66585
321	30136.42391
322	30117.63885
323	30107.209
324	30096.87682
325	30085.11526
326	30078.85833
327	30070.08143
328	30056.11874
329	30040.51117
330	30031.99347
331	30025.4835
332	30015.24259
333	29996.1447
334	29985.37077
335	29962.12278
336	29947.8674
337	29934.21106
338	29927.00195
339	29913.62287
340	29899.57328
341	29888.68021
342	29874.19869
343	29861.95975
344	29852.04487
345	29840.97178
346	29820.51169
347	29807.6434
348	29786.39829
349	29774.20259
350	29760.38532
351	29747.06351
352	29727.53518
353	29716.95481
354	29700.75048
355	29690.02755
356	29681.47097
357	29673.41236
358	29662.70828
359	29641.02865
360	29618.66612
361	29601.72787
362	29584.57959
363	29566.73781
364	29556.82819
365	29553.81439
366	29531.15901
367	29519.08962
368	29504.12309
369	29492.15981
370	29480.52597
371	29463.322
372	29451.18318
373	29442.96424
374	29415.46195
375	29410.33566
376	29394.26602
377	29376.51136
378	29358.84999
379	29345.84351
380	29331.81267
381	29312.03856
382	29303.73809
383	29289.42999
384	29276.17259
385	29266.46962
386	29249.37598
387	29233.86517
388	29209.001
389	29198.96192
390	29188.96001
391	29174.28616
392	29166.4568
393	29153.46643
394	29143.91099
395	29132.30688
396	29124.12321
397	29112.75891
398	29099.56031
399	29087.10734
400	29072.388
401	29058.83039
402	29046.54099
403	29039.38149
404	29037.14856
405	29033.14494
406	29017.6534
407	29006.34702
408	28992.20101
409	28982.44138
410	28967.6872
411	28957.36176
412	28942.32265
413	28934.6734
414	28925.46151
415	28916.41158
416	28906.39808
417	28891.96661
418	28882.84624
419	28869.35211
420	28857.58771
421	28847.0248
422	28843.87071
423	28829.84009
424	28822.77593
425	28814.39032
426	28796.71856
427	28794.26902
428	28783.52475
429	28780.34769
430	28769.35996
431	28762.95855
432	28752.22188
433	28736.79773
434	28725.38081
435	28717.518
436	28699.91599
437	28690.53108
438	28681.75379
439	28671.219
440	28667.24769
441	28657.91805
442	28652.35706
443	28635.32821
444	28625.58587
445	28605.12383
446	28595.75132
447	28584.80363
448	28578.80973
449	28568.50374
450	28564.24769
451	28560.76163
452	28548.26917
453	28536.32895
454	28525.38517
455	28516.5835
456	28509.26555
457	28483.77547
458	28472.51269
459	28462.5838
