iter	RMSE
0	130539.8618
1	127732.8941
2	125154.5651
3	122631.1998
4	120094.7483
5	117478.3084
6	115107.1437
7	112853.0622
8	110547.8408
9	108285.5793
10	106204.1977
11	104113.952
12	102126.3822
13	100135.4172
14	98162.8216
15	96288.78028
16	94551.87822
17	92865.71654
18	91137.68738
19	89422.60924
20	87779.96765
21	86133.1442
22	84470.11093
23	82897.25794
24	81510.56241
25	80093.28864
26	78736.06946
27	77503.38947
28	76241.81974
29	74855.60595
30	73392.76949
31	72263.21923
32	71093.79947
33	69918.3745
34	68734.56877
35	67553.99421
36	66399.85614
37	65232.94519
38	64211.55817
39	63096.74198
40	62105.88957
41	61023.27257
42	60113.88334
43	59142.74756
44	58189.16833
45	57161.02769
46	56296.8318
47	55410.24806
48	54562.63481
49	53718.62455
50	52915.15626
51	52087.09777
52	51337.73079
53	50612.74895
54	49881.00332
55	49170.05356
56	48525.58277
57	47840.36951
58	47156.00367
59	46547.75518
60	45878.24212
61	45284.13782
62	44601.2074
63	43926.55179
64	43330.94545
65	42888.422
66	42386.88761
67	41854.89217
68	41404.74847
69	40867.95392
70	40371.84322
71	39876.96923
72	39493.08844
73	39054.16611
74	38555.91398
75	38056.56151
76	37567.55469
77	37054.71372
78	36643.42382
79	36218.57385
80	35822.00202
81	35484.71244
82	35061.15648
83	34619.54926
84	34206.67667
85	33903.36481
86	33562.06296
87	33215.95574
88	32916.1416
89	32573.48462
90	32295.3253
91	31948.34618
92	31653.62181
93	31376.36731
94	31076.01511
95	30780.98457
96	30485.17981
97	30212.71485
98	29928.8743
99	29650.98968
100	29444.69375
101	29168.18293
102	28944.3401
103	28757.71578
104	28474.98656
105	28200.06491
106	27951.66758
107	27748.38141
108	27501.41925
109	27286.40438
110	27104.79345
111	26912.12052
112	26725.91871
113	26558.57634
114	26352.09365
115	26192.64586
116	25992.68432
117	25846.35369
118	25687.78052
119	25506.83746
120	25320.5337
121	25163.97777
122	24940.75721
123	24754.16367
124	24619.07489
125	24458.3867
126	24325.85367
127	24160.48184
128	23980.41293
129	23810.07646
130	23698.48586
131	23587.83942
132	23447.81952
133	23328.90897
134	23186.84532
135	23034.48555
136	22852.99354
137	22729.36415
138	22557.80074
139	22432.21937
140	22270.96891
141	22143.00821
142	21991.06903
143	21873.96857
144	21752.18231
145	21555.6239
146	21369.11159
147	21257.07487
148	21163.39691
149	21064.94611
150	20935.26784
151	20810.05836
152	20720.7337
153	20595.80968
154	20424.47001
