iter	Passed	Remaining
0	72	72675
1	76	37958
2	80	26886
3	85	21262
4	89	17864
5	95	15770
6	100	14276
7	105	13090
8	110	12152
9	115	11390
10	119	10766
11	123	10189
12	128	9734
13	132	9343
14	136	8980
15	141	8673
16	145	8417
17	149	8181
18	154	7977
19	158	7767
20	163	7605
21	167	7435
22	170	7255
23	174	7113
24	179	7019
25	183	6867
26	186	6737
27	191	6642
28	195	6532
29	199	6462
30	203	6373
31	207	6290
32	212	6218
33	216	6147
34	220	6085
35	224	6016
36	228	5958
37	233	5907
38	237	5846
39	241	5785
40	244	5730
41	249	5686
42	253	5646
43	258	5611
44	263	5586
45	267	5548
46	271	5511
47	276	5475
48	280	5441
49	285	5415
50	289	5377
51	293	5350
52	298	5340
53	303	5310
54	307	5275
55	311	5250
56	314	5210
57	318	5179
58	322	5148
59	326	5109
60	329	5074
61	333	5041
62	336	5007
63	340	4985
64	345	4965
65	348	4929
66	352	4911
67	355	4877
68	361	4882
69	366	4872
70	369	4838
71	374	4822
72	377	4790
73	382	4781
74	387	4776
75	392	4770
76	396	4749
77	401	4744
78	405	4730
79	409	4707
80	413	4689
81	416	4667
82	420	4644
83	425	4638
84	429	4624
85	433	4604
86	437	4586
87	440	4566
88	444	4546
89	448	4537
90	451	4510
91	454	4486
92	458	4470
93	460	4441
94	463	4415
95	466	4392
96	470	4375
97	473	4358
98	476	4339
99	480	4320
100	482	4294
101	485	4274
102	488	4255
103	492	4240
104	496	4232
105	499	4215
106	503	4202
107	507	4188
108	510	4173
109	513	4157
110	516	4139
111	520	4123
112	524	4117
113	528	4108
114	531	4092
115	535	4081
116	539	4070
117	542	4057
118	545	4040
119	549	4027
120	552	4010
121	555	3995
122	558	3981
123	561	3967
124	564	3953
125	568	3940
126	571	3930
127	574	3912
128	578	3907
129	582	3897
130	585	3882
131	588	3867
132	591	3859
133	595	3849
134	598	3836
135	601	3823
136	605	3816
137	609	3809
138	613	3800
139	616	3788
140	620	3779
141	624	3775
142	629	3770
143	632	3761
144	635	3750
145	640	3747
146	644	3739
147	646	3723
148	649	3709
149	653	3703
150	656	3693
151	660	3682
152	663	3672
153	666	3662
154	670	3653
155	673	3644
156	676	3633
157	680	3623
158	684	3620
159	687	3609
160	690	3600
161	693	3589
162	696	3577
163	701	3575
164	706	3574
165	712	3580
166	716	3573
167	719	3562
168	722	3554
169	725	3542
170	728	3530
171	730	3515
172	732	3503
173	736	3498
174	741	3494
175	745	3489
176	749	3486
177	753	3480
178	756	3470
179	760	3463
180	764	3457
181	768	3454
182	771	3443
183	775	3437
184	777	3426
185	781	3421
186	784	3408
187	790	3412
188	793	3403
189	796	3397
190	799	3387
191	803	3383
192	807	3377
193	811	3370
194	814	3360
195	817	3353
196	822	3351
197	826	3345
198	829	3337
199	833	3334
200	838	3333
201	842	3329
202	846	3321
203	849	3313
204	851	3302
205	854	3293
206	858	3290
